stt,GSA1,GSA2,GSA3,GSA4,CE1,CE2,CE3,CE4,CE5,CE6,CE7,CE8,MA1,MA2,MA3,MA4,MA5,VA1,VA2,VA3,VA4,FE1,FE2,FE3,PE1,PE2,PE3
140,5,5,5,4,4,5,5,2,5,3,5,3,4,5,5,4,4,4,3,4,3,4,5,4,4,4,5
141,4,5,5,4,5,4,5,5,5,4,4,4,5,3,4,5,5,5,5,5,4,5,5,5,5,5,4
142,4,5,5,5,5,3,4,5,4,2,4,4,3,5,3,4,4,5,5,5,4,5,5,5,5,5,2
143,5,3,5,5,5,4,5,3,5,5,4,4,5,5,5,5,3,3,4,5,4,5,4,5,3,5,5
144,3,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,4,3,4,3,4,4,4,4
145,4,4,4,5,4,4,5,5,3,5,5,4,4,5,4,5,4,3,5,4,5,5,5,5,4,3,4
146,3,3,3,4,3,5,4,5,4,5,3,5,5,4,5,5,5,5,5,5,5,3,5,4,4,4,3
147,5,4,5,4,5,5,5,5,4,4,5,5,4,3,5,4,3,5,4,3,3,4,4,4,4,5,4
148,4,4,5,4,4,4,5,5,4,5,4,3,4,4,5,5,5,5,5,4,5,5,4,3,5,5,3
149,4,3,4,5,4,3,4,4,5,4,5,5,5,4,4,3,5,5,5,3,5,5,3,3,4,4,4
150,1,5,5,5,4,5,5,5,5,4,4,4,5,5,3,3,4,5,4,5,5,5,4,5,4,5,5
151,4,5,5,4,4,5,5,3,5,5,5,5,3,4,5,4,5,5,3,4,5,5,4,4,4,4,5
152,5,4,4,4,3,5,4,2,3,5,4,5,3,4,4,3,5,3,4,5,5,4,4,5,3,5,3
153,3,3,5,4,5,4,4,5,5,5,3,5,4,4,4,4,5,5,4,5,4,5,5,4,5,3,4
154,3,5,2,5,4,5,5,4,5,4,3,5,4,5,5,5,4,4,3,4,5,4,4,3,3,5,2
155,5,5,5,4,4,3,4,4,5,5,4,5,4,5,5,4,5,3,5,3,5,4,5,3,5,2,3
156,3,2,5,5,4,1,2,4,4,4,5,4,4,3,3,3,3,5,3,4,5,5,5,4,3,4,3
157,5,5,4,5,4,4,3,5,3,5,2,5,4,5,5,5,4,4,3,5,3,4,4,5,5,5,5
158,5,4,4,4,5,3,5,5,5,3,4,5,4,3,5,4,4,5,4,4,4,4,4,4,5,3,5
159,4,4,5,5,3,5,5,5,5,4,3,5,5,5,4,5,4,4,5,5,4,5,4,3,4,3,4
160,4,4,5,4,4,5,5,5,4,4,3,4,5,4,4,5,4,4,5,4,5,4,5,4,4,3,4
161,3,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
162,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3
163,3,3,4,4,4,3,4,3,3,3,4,4,3,3,3,3,3,4,5,4,4,4,5,4,4,4,5
164,4,4,4,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5
165,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
166,5,5,5,5,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
167,4,4,4,4,4,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,4
168,4,4,4,2,2,3,3,3,3,3,3,3,4,4,4,3,4,4,4,4,4,3,3,3,3,3,3
169,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
